,CITY,NICKNAME,TEAM_ID,W,L,W_HOME,L_HOME,W_ROAD,L_ROAD,TEAM_TURNOVERS,TEAM_REBOUNDS,GP,GS,ACTUAL_MINUTES,ACTUAL_SECONDS,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,OFF_REB,DEF_REB,TOT_REB,AST,PF,STL,TOTAL_TURNOVERS,BLK,PTS,AVG_REB,AVG_PTS,DQ,OFFENSIVE_EFFICIENCY,SCORING_MARGIN,SEASON,GAME_DATE,GAME_ID,HOME_FLAG,AWAY_FLAG,HOME_WIN_PCTG,AWAY_WIN_PCTG,TOTAL_WIN_PCTG,ROLLING_SCORING_MARGIN,ROLLING_OE,NUM_REST_DAYS
153,OPPONENTS, Heat,1610612748,1,0,0,0,1,0,0,3,1,5,240,0,47,82,0.573,16,35,0.457,20,22,0.909,3,32,38,30,20,8,11,2,130,38.0,130.0,0,0.6416666666666667,6.0,2020-21,2021-05-09,0022000145,0,1,0.5714285714285714,0.5151515151515151,0.5441176470588235,0.3333333333333333,0.6060263653483992,2.0
154,Chicago,Bulls,1610612741,1,0,1,0,0,0,0,5,1,5,240,0,43,99,0.434,18,40,0.45,17,18,0.944,15,37,57,26,20,10,9,4,121,57.0,121.0,0,0.5798319327731093,22.0,2020-21,2021-05-07,0022000160,1,0,0.3939393939393939,0.4411764705882353,0.417910447761194,10.333333333333334,0.5790836141219774,1.0
155,OPPONENTS, Celtics,1610612738,0,1,0,0,0,1,1,9,1,5,240,0,35,86,0.407,11,39,0.282,18,23,0.783,11,36,56,19,15,5,14,8,99,56.0,99.0,0,0.5,-22.0,2020-21,2021-05-07,0022000160,0,1,0.6176470588235294,0.42424242424242425,0.5223880597014925,1.3333333333333333,0.5661375661375662,2.0
156,Orlando,Magic,1610612753,0,1,0,1,0,0,2,9,1,5,240,0,33,85,0.388,6,25,0.24,24,28,0.857,10,35,54,13,11,7,19,7,96,54.0,96.0,0,0.42990654205607476,-36.0,2020-21,2021-05-05,0022000990,1,0,0.3142857142857143,0.3225806451612903,0.3181818181818182,-9.333333333333334,0.5241879615711392,2.0
157,OPPONENTS, Celtics,1610612738,1,0,0,0,1,0,0,5,1,5,240,0,51,96,0.531,21,45,0.467,9,12,0.75,9,36,50,28,23,8,11,9,132,50.0,132.0,0,0.626984126984127,36.0,2020-21,2021-05-05,0022000990,0,1,0.6176470588235294,0.4375,0.5303030303030303,9.666666666666666,0.6014911014911015,3.0
158,Boston,Celtics,1610612738,0,1,0,1,0,0,0,7,1,5,240,0,43,89,0.483,20,39,0.513,13,15,0.867,10,35,52,29,21,3,18,6,119,52.0,119.0,0,0.5714285714285714,-10.0,2020-21,2021-05-02,0022000968,1,0,0.6176470588235294,0.41935483870967744,0.5230769230769231,0.6666666666666666,0.5989860680126168,2.0
159,OPPONENTS, Trail Blazers,1610612757,1,0,0,0,1,0,1,5,1,5,240,0,44,85,0.518,19,38,0.5,22,26,0.846,3,33,41,27,18,8,10,5,129,41.0,129.0,0,0.5966386554621849,10.0,2020-21,2021-05-02,0022000968,0,1,0.5,0.625,0.5625,16.666666666666668,0.5999891634566556,2.0
160,Boston,Celtics,1610612738,1,0,1,0,0,0,0,12,1,5,265,0,49,105,0.467,18,38,0.474,27,36,0.75,17,35,64,31,26,7,13,7,143,64.0,143.0,0,0.6060606060606061,3.0,2020-21,2021-04-30,0022000950,1,0,0.6363636363636364,0.41935483870967744,0.53125,2.6666666666666665,0.5751765442030928,2.0
161,OPPONENTS, Spurs,1610612759,0,1,0,0,0,1,0,8,1,5,265,0,49,92,0.533,11,24,0.458,31,38,0.816,8,35,51,29,27,6,11,1,140,51.0,140.0,0,0.6290322580645161,-3.0,2020-21,2021-04-30,0022000950,0,1,0.40625,0.6,0.5,-1.6666666666666667,0.6244283772092448,2.0
162,Boston,Celtics,1610612738,1,0,1,0,0,0,0,11,1,5,240,0,44,92,0.478,15,40,0.375,17,22,0.773,19,35,65,26,24,9,14,8,120,65.0,120.0,0,0.6194690265486725,9.0,2020-21,2021-04-28,0022000936,1,0,0.625,0.41935483870967744,0.5238095238095238,-5.333333333333333,0.5336501693433847,1.0
163,OPPONENTS, Hornets,1610612766,0,1,0,0,0,1,0,13,1,5,240,0,37,87,0.425,13,35,0.371,24,32,0.75,11,22,46,29,18,7,11,5,111,46.0,111.0,0,0.5689655172413793,-9.0,2020-21,2021-04-28,0022000936,0,1,0.5517241379310345,0.42424242424242425,0.4838709677419355,0.6666666666666666,0.5844657282150609,1.0
164,Boston,Celtics,1610612738,0,1,0,1,0,0,0,6,1,5,240,0,41,97,0.423,11,49,0.224,22,25,0.88,8,31,45,21,26,16,14,7,115,45.0,115.0,1,0.5,-4.0,2020-21,2021-04-27,0022000927,1,0,0.6129032258064516,0.41935483870967744,0.5161290322580645,-10.0,0.4924266002697375,2.0
165,OPPONENTS, Thunder,1610612760,1,0,0,0,1,0,0,13,1,5,240,0,39,81,0.481,13,30,0.433,28,36,0.778,10,41,64,25,24,5,27,3,119,64.0,119.0,0,0.5203252032520326,4.0,2020-21,2021-04-27,0022000927,0,1,0.3,0.375,0.3387096774193548,-15.666666666666666,0.498300491479491,1.0
